id,start_date,end_date,guest_id,total
1,2024-02-11,2024-02-13,194,510
2,2023-12-02,2023-12-03,412,318.75
3,2023-12-05,2023-12-11,451,1657.50
4,2023-12-13,2023-12-15,251,510
5,2023-10-10,2023-10-13,80,765
6,2023-04-16,2023-04-20,808,1020
7,2023-08-23,2023-08-28,534,1402.50
8,2023-04-06,2023-04-07,524,255
9,2024-02-24,2024-02-25,663,318.75
10,2023-11-04,2023-11-07,488,828.75
11,2023-08-31,2023-09-07,636,1912.50
12,2023-05-18,2023-05-21,34,892.50
13,2023-07-10,2023-07-16,74,1657.50
14,2023-09-09,2023-09-10,404,318.75
15,2023-10-28,2023-11-02,557,1338.75
16,2023-08-15,2023-08-17,39,510
