id,start_date,end_date,guest_id,total
1,2023-04-11,2023-04-14,946,234
2,2024-03-01,2024-03-03,292,195.0
3,2023-11-16,2023-11-22,44,507.0
4,2023-07-19,2023-07-23,777,351.0
5,2023-07-06,2023-07-07,250,78
6,2023-10-07,2023-10-11,273,331.5
7,2024-01-19,2024-01-23,73,351.0
8,2023-08-30,2023-09-03,880,351.0
9,2023-11-05,2023-11-12,165,585.0
10,2023-06-03,2023-06-08,724,409.5
11,2023-05-09,2023-05-12,267,234
12,2024-01-29,2024-01-30,527,78
13,2023-12-08,2023-12-09,360,97.5
14,2023-10-12,2023-10-18,26,507.0
15,2023-06-17,2023-06-22,430,409.5
16,2023-12-19,2023-12-24,774,429.0
17,2024-01-07,2024-01-09,18,156
18,2023-07-10,2023-07-16,513,507.0
