id,start_date,end_date,guest_id,total
1,2024-01-19,2024-01-25,582,2847.0
2,2023-12-24,2023-12-28,334,1752
3,2024-03-08,2024-03-11,534,1533.0
4,2023-07-20,2023-07-23,775,1533.0
5,2023-07-24,2023-07-27,734,1314
6,2023-10-30,2023-11-02,68,1314
7,2023-09-06,2023-09-13,250,3285.0
8,2023-08-14,2023-08-18,881,1752
9,2024-03-02,2024-03-08,281,2737.5
10,2023-08-28,2023-09-04,20,3285.0
11,2023-05-24,2023-05-28,46,1971.0
12,2023-12-22,2023-12-23,882,547.5
13,2023-06-11,2023-06-16,526,2190
14,2023-09-26,2023-09-28,564,876
15,2024-02-08,2024-02-11,795,1533.0
