id,start_date,end_date,guest_id,total
1,2024-01-15,2024-01-18,946,597
2,2023-06-20,2023-06-27,346,1492.50
3,2024-03-13,2024-03-14,842,199
4,2023-10-06,2023-10-12,762,1293.50
5,2024-02-15,2024-02-16,816,199
6,2024-01-18,2024-01-20,850,447.75
7,2023-10-28,2023-11-03,99,1243.75
8,2023-11-20,2023-11-26,708,1293.50
9,2023-06-13,2023-06-19,549,1293.50
10,2023-05-25,2023-05-27,93,447.75
11,2023-11-27,2023-12-04,376,1492.50
12,2024-03-15,2024-03-16,555,248.75
13,2023-12-28,2023-12-30,653,447.75
14,2023-04-29,2023-05-03,1,845.75
15,2023-09-22,2023-09-23,804,248.75
