id,start_date,end_date,guest_id,total
1,2023-12-26,2023-12-27,176,144
2,2023-08-15,2023-08-17,133,288
3,2023-09-04,2023-09-08,783,576
4,2024-03-02,2024-03-06,651,612
5,2023-03-26,2023-03-30,616,576
6,2023-05-04,2023-05-05,941,144
7,2023-07-24,2023-07-29,216,756
8,2023-11-20,2023-11-25,496,756
9,2023-12-01,2023-12-05,903,648
10,2024-03-01,2024-03-02,584,180
11,2023-10-20,2023-10-22,887,360
12,2024-03-06,2024-03-13,409,1080
13,2023-09-12,2023-09-17,314,792
14,2024-02-20,2024-02-24,623,612
15,2023-10-16,2023-10-19,670,432
16,2023-04-26,2023-05-03,773,1080
17,2023-08-21,2023-08-22,697,144
18,2023-11-04,2023-11-08,439,612
19,2023-04-04,2023-04-09,41,792
20,2023-06-29,2023-07-02,136,504
