id,start_date,end_date,guest_id,total
1,2024-03-07,2024-03-11,934,1579.50
2,2024-01-02,2024-01-08,20,2281.50
3,2023-04-15,2023-04-20,243,1842.75
4,2023-10-07,2023-10-10,800,1140.75
5,2023-04-10,2023-04-13,863,1053
6,2024-02-25,2024-02-26,125,351
7,2023-09-09,2023-09-15,461,2193.75
8,2023-12-14,2023-12-16,363,789.75
9,2023-09-17,2023-09-24,955,2632.50
10,2023-09-26,2023-09-29,301,1053
11,2023-05-15,2023-05-18,520,1053
12,2023-11-21,2023-11-25,141,1491.75
13,2024-02-07,2024-02-13,321,2281.50
14,2023-11-06,2023-11-10,704,1404
15,2023-07-29,2023-08-01,508,1140.75
16,2023-08-17,2023-08-20,833,1228.50
17,2023-08-20,2023-08-26,34,2193.75
