id,start_date,end_date,guest_id,total
1,2023-04-13,2023-04-17,272,1273.50
2,2023-03-27,2023-04-01,926,1485.75
3,2023-06-21,2023-06-25,156,1273.50
4,2023-07-03,2023-07-10,845,2122.50
5,2023-08-26,2023-08-30,602,1202.75
6,2023-09-28,2023-10-04,399,1839.50
7,2023-09-05,2023-09-11,23,1839.50
8,2024-01-13,2024-01-18,450,1485.75
9,2023-10-04,2023-10-11,410,2122.50
10,2024-01-07,2024-01-13,782,1768.75
11,2023-10-25,2023-10-29,478,1273.50
12,2024-02-28,2024-03-03,559,1273.50
13,2024-02-08,2024-02-11,451,990.50
14,2023-06-06,2023-06-11,927,1556.50
15,2023-04-02,2023-04-03,310,283
16,2023-11-09,2023-11-10,853,283
17,2023-08-10,2023-08-11,196,283
