id,start_date,end_date,guest_id,total
1,2023-03-27,2023-03-28,961,476
2,2023-04-05,2023-04-08,956,1547
3,2023-12-10,2023-12-11,361,476
4,2023-04-11,2023-04-14,308,1428
5,2023-09-15,2023-09-18,764,1666
6,2023-11-09,2023-11-13,254,2142
7,2023-08-04,2023-08-11,522,3570
8,2023-12-17,2023-12-22,517,2380
9,2023-03-28,2023-04-02,302,2618
10,2024-02-18,2024-02-25,152,3570
11,2023-07-04,2023-07-11,582,3570
12,2024-01-10,2024-01-16,717,3094
13,2024-03-12,2024-03-16,908,2023
14,2024-02-09,2024-02-14,462,2618
15,2023-03-23,2023-03-25,386,1071
16,2023-06-13,2023-06-17,123,2023
17,2023-04-29,2023-05-03,572,2023
